V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,feature
3.56418075,3.513997323,4.349873068,6.841932384,6.659156033,4.816162709,7.370197827,7.883897285,7.555759312,7.036232961,SubFPC287
3.033651321,3.74327074,4.910481319,6.209366004,5.222747029,6.068650361,6.013879189,5.997108191,7.246805608,7.137767698,SubFPC171
2.500373213,2.633359204,4.253376167,3.292425208,3.390905037,5.309381146,4.980913646,6.479101778,5.69986077,6.44434209,SubFPC303
1.885741127,2.404964563,2.31523061,1.966160239,2.904289075,2.705341202,2.356809582,2.368872532,1.59992184,1.326013195,SubFPC5
0.845633496,1.051582056,1.372330945,1.680539659,1.815594014,1.790744627,2.230356324,2.075517618,2.510977955,2.558890792,SubFPC1
0.802390723,1.433656823,1.667750318,2.329905373,1.77067191,2.138837909,1.816958491,1.886243809,1.877813645,2.093164545,SubFPC300
0.967511921,1.465852689,1.659080963,1.709854187,1.82980071,1.846194627,2.352251436,1.903137619,1.78389731,1.581993344,SubFPC307
0.955908862,1.044002944,1.63686536,1.844056418,1.767411916,1.564698969,1.860746626,1.665966016,1.593737936,1.74325575,SubFPC301
0.517863045,0.716333445,1.12920104,1.262814274,1.744698943,1.618341584,1.619888973,1.885033171,2.188087817,2.462810074,SubFPC16
0.37672749,0.603995386,1.040165417,1.426270653,1.576654665,1.698676459,1.892009554,1.864339999,2.319706524,2.138030657,SubFPC173
1.272262395,1.340231381,1.607823823,1.512702046,1.406363339,1.307745625,1.105682738,0.820431483,1.07283849,0.69676135,SubFPC302
0.757691077,1.398527858,1.612386418,1.331740844,1.348206895,1.159426886,1.160573864,1.171241187,1.043363847,1.140938815,SubFPC137
1.028381086,1.679781284,1.036691117,1.284323401,1.249199724,0.99168526,1.141320128,1.265141421,0.772392605,0.988155766,SubFPC139
0.848596008,0.804957154,0.555137688,0.757207453,1.095692828,1.365250453,0.712909312,0.42307138,1.199710279,0.554224475,SubFPC49
0.488780097,0.981213193,1.02762839,0.740274391,0.770564468,0.708454294,0.620073169,0.379512793,0.54608609,0.410811632,SubFPC295
0.374429747,0.417404783,0.609081256,0.738288517,0.608225681,0.534887591,0.45192018,0.390995084,0.47176753,0.628035369,SubFPC18
0.453934426,0.707169069,0.640132933,0.589771645,0.655818507,0.61264076,0.30731017,0.431706051,0.256771593,0.423083883,SubFPC2
0.378768694,0.551687838,0.643933369,0.479228893,0.417460732,0.566704062,0.381933355,0.442987533,0.582762301,0.516247444,SubFPC275
0.399263929,0.309558327,0.615251271,0.628329723,0.540933206,0.817630102,0.475740496,0.355495397,0.405805427,0.120434887,SubFPC135
0.252216333,0.343710906,0.453983514,0.461609963,0.478131992,0.304743791,0.533818889,0.471834816,0.341075184,0.446211908,SubFPC274
0.585648727,0.6037028,0.565231207,0.508050848,0.374728242,0.115405838,0.391315908,0.284350821,0.289102352,0.24142536,SubFPC297
0.311122295,0.267929432,0.412915172,0.428764716,0.371903638,0.386563023,0.246887771,0.222328414,0.544349228,0.245906965,SubFPC100
0.335881716,0.501343747,0.454612863,0.143883004,0.349476092,0.630113273,0.221082811,0.44305515,0.177982795,0.124898166,SubFPC188
0.109132141,0.431510649,0.52048197,0.38445948,0.457124127,0.647106939,0.201497904,0.232250823,0.066651723,0.148414441,SubFPC298
0.203986046,0.310387477,0.237928084,0.418761626,0.392491691,0.450489647,0.438053415,0.308827857,0.103957386,0.286349535,SubFPC296
0.428298239,0.302403743,0.399985855,0.314013479,0.156915023,0.141636077,0.129425164,0.15742135,0.291314933,0.338097458,SubFPC88
0.287338356,0.309189867,0.224870946,0.352882783,0.299056771,0.301659426,0.307464422,0.139106876,0.279436031,0.051562187,SubFPC299
0.250565132,0.196589694,0.180803088,0.148801723,0.045357954,0.177013122,0.113769272,0.364784633,0.203838174,0.156010582,SubFPC85
0.246080938,0.221147048,0.319569627,0.13978282,0.237997309,0.11277138,0.072606022,0.101021972,0.19000026,0.139720857,SubFPC4
0.168350843,0.198674803,0.096556601,0.217106913,0.142163049,0.116335598,0.112255395,0.146637327,0.159666931,0.278812198,SubFPC3
0.194757836,0.23583899,0.202889201,0.162163957,0.141662536,0.149468669,0.154692364,0.066414737,0.12488376,0.100199663,SubFPC96
0.116655832,0.222213792,0.17066305,0.079357575,0.185343509,0.154072271,0.156228229,0.121510154,0.155887529,0.101380952,SubFPC84
0.254191002,0.220928101,0.197444886,0.229900249,0.073683813,0.131709907,0.103564327,0.089128986,0.057629413,0.069233191,SubFPC101
0.088264762,0.072150116,0.033671135,0.095949832,0.126415846,0.146924786,0.073967904,0.052466462,0.085052288,0.188677657,SubFPC184
0.054527444,0.032905796,0.079103061,0.029617263,0.080806673,0.112777949,0.052332906,0.06607965,0.06781351,0.139070707,SubFPC38
0.135856054,0.052102564,0.015978261,0.132483223,0.033861594,0.086999862,0.079538462,0.035736989,0,0.075940239,SubFPC74
0.013913604,0.022432256,0.058739147,0.04065808,0.059102188,0.056371989,0.091669899,0.094793346,0.071311855,0.044989177,SubFPC174
0.097596502,0.095061923,0.061249716,0.077935398,0.034810023,0.01069697,0.022904762,0.062991342,0.021974747,0.063218045,SubFPC20
0.038222007,0.049637717,0.103361831,0.020157509,0.057137701,0.065800866,0.026805556,0.065020604,0.031,0,SubFPC26
0.087773195,0.042244507,0.015507206,0.084175891,0.014126984,0.014096154,0.015,0.020449495,0.044965517,0.067199158,SubFPC37
0.115581458,0.036050553,0.014273649,0.060842965,0.052210294,0.055128205,0.004,0.022156863,0.039425287,0.002076923,SubFPC17
0.06384234,0.078139892,0.044196386,0.069241275,0.013285714,0.009,0,0.019333333,0.01,0.030233918,SubFPC23
0.028832559,0.020452381,0.020315152,0,0.013333333,0,0,0.064761905,0,0.012857143,SubFPC125
0.014925975,0.022017762,0.023707746,0.001207112,0.000512821,0.010138889,0.002388592,0.003591954,0,0,SubFPC28
0.010437307,0.002758337,0,0,0.000166667,0,0,0,0,0,SubFPC172