,ACCts
1,86.95652174
2,86.95652174
3,91.30434783
4,88.69565217
5,86.95652174
6,86.08695652
7,86.08695652
8,85.2173913
9,87.82608696
10,86.95652174
11,87.82608696
12,92.17391304
13,81.73913043
14,93.04347826
15,86.95652174
16,83.47826087
17,90.43478261
18,82.60869565
19,93.04347826
20,82.60869565
21,85.2173913
22,80.86956522
23,90.43478261
24,88.69565217
25,85.2173913
26,80
27,82.60869565
28,85.2173913
29,88.69565217
30,83.47826087
31,86.08695652
32,88.69565217
33,86.08695652
34,88.69565217
35,87.82608696
36,85.2173913
37,87.82608696
38,87.82608696
39,91.30434783
40,91.30434783
41,86.95652174
42,88.69565217
43,82.60869565
44,90.43478261
45,92.17391304
46,73.91304348
47,81.73913043
48,85.2173913
49,86.08695652
50,79.13043478
51,84.34782609
52,85.2173913
53,80
54,85.2173913
55,83.47826087
56,76.52173913
57,86.95652174
58,86.08695652
59,80.86956522
60,82.60869565
61,86.08695652
62,77.39130435
63,83.47826087
64,87.82608696
65,85.2173913
66,80.86956522
67,84.34782609
68,81.73913043
69,81.73913043
70,73.91304348
71,87.82608696
72,91.30434783
73,90.43478261
74,78.26086957
75,83.47826087
76,87.82608696
77,87.82608696
78,89.56521739
79,87.82608696
80,84.34782609
81,86.95652174
82,90.43478261
83,92.17391304
84,86.08695652
85,89.56521739
86,80
87,84.34782609
88,82.60869565
89,93.91304348
90,89.56521739
91,84.34782609
92,85.2173913
93,85.2173913
94,89.56521739
95,87.82608696
96,81.73913043
97,89.56521739
98,79.13043478
99,90.43478261
100,80.86956522
,
,85.77
,4.13